Inbetween Land (Full);793;Frankrike;2017-11-01
Hidden City®;25;Japan;2017-11-01
Mahjong Journey®;260;Japan;2017-11-01
The Paranormal Society™;322;Japan;2017-11-01
The Secret Society®;424;Japan;2017-11-01
Pirates &amp Pearls™;465;Japan;2017-11-01
Twin Moons®;479;Japan;2017-11-01
Homicide Squad: Hidden Crimes;621;Japan;2017-11-01
Inbetween Land (Full);687;Japan;2017-11-01
Survivors: the Quest®;927;Japan;2017-11-01
Hidden City®;436;Australien;2017-11-01
The Secret Society®;552;Australien;2017-11-01
Survivors: the Quest®;609;Australien;2017-11-01
Mahjong Journey®;680;Australien;2017-11-01
Supermarket Mania® Journey;951;Australien;2017-11-01
Twin Moons®;962;Australien;2017-11-01
Hidden City®;232;Italien;2017-11-01
Inbetween Land (Full);747;Italien;2017-11-01
Mahjong Journey®;882;Italien;2017-11-01
The Secret Society®;290;Holland;2017-11-01
Hidden City®;243;Spanien;2017-11-01
Mahjong Journey®;606;Spanien;2017-11-01
The Secret Society®;942;Spanien;2017-11-01
Hidden City®;107;Kina;2017-11-01
Mahjong Journey®;554;Kina;2017-11-01
Inbetween Land (Full);665;Kina;2017-11-01
Inbetween Land (Full);9;Korea;2017-11-01
Hidden City®;57;Korea;2017-11-01
Inbetween Land;231;Korea;2017-11-01
The Paranormal Society™;437;Korea;2017-11-01
The Secret Society®;448;Korea;2017-11-01
Twin Moons®;572;Korea;2017-11-01
Mahjong Journey®;576;Korea;2017-11-01
9 Clues 2: The Ward;591;Korea;2017-11-01
Homicide Squad: Hidden Crimes;627;Korea;2017-11-01
Survivors: the Quest®;698;Korea;2017-11-01
Letters From Nowhere®: A Hidden Object Mystery;881;Korea;2017-11-01
The Island Castaway®: Lost World™;966;Korea;2017-11-01
Hidden City®;153;Ryssland;2017-11-01
The Secret Society®;423;Ryssland;2017-11-01
Inbetween Land (Full);615;Ryssland;2017-11-01
Supermarket Mania® Journey;815;Ryssland;2017-11-01
Hidden City®;443;Brasilien;2017-11-01
Inbetween Land (Full);526;Brasilien;2017-11-01
Mahjong Journey®;627;Brasilien;2017-11-01
Hidden City®;75;USA;2017-11-02
Mahjong Journey®;438;USA;2017-11-02
Homicide Squad: Hidden Crimes;525;USA;2017-11-02
Supermarket Mania® Journey;951;USA;2017-11-02
Hidden City®;414;UK;2017-11-02
Twin Moons®;422;UK;2017-11-02
Supermarket Mania® Journey;475;UK;2017-11-02
Hidden City®;202;Tyskland;2017-11-02
The Secret Society®;747;Tyskland;2017-11-02
Supermarket Mania® Journey;790;Tyskland;2017-11-02
Hidden City®;242;Canada;2017-11-02
Mahjong Journey®;385;Canada;2017-11-02
Supermarket Mania® Journey;759;Canada;2017-11-02
Survivors: the Quest®;768;Canada;2017-11-02
Inbetween Land (Full);789;Canada;2017-11-02
Hidden City®;276;Frankrike;2017-11-02
Supermarket Mania® Journey;525;Frankrike;2017-11-02
Mahjong Journey®;978;Frankrike;2017-11-02
Hidden City®;24;Japan;2017-11-02
Mahjong Journey®;243;Japan;2017-11-02
The Paranormal Society™;362;Japan;2017-11-02
The Secret Society®;458;Japan;2017-11-02
Homicide Squad: Hidden Crimes;504;Japan;2017-11-02
Twin Moons®;646;Japan;2017-11-02
Pirates &amp Pearls™;695;Japan;2017-11-02
Survivors: the Quest®;973;Japan;2017-11-02
Supermarket Mania® Journey;980;Japan;2017-11-02
Hidden City®;288;Australien;2017-11-02
Supermarket Mania® Journey;478;Australien;2017-11-02
The Secret Society®;538;Australien;2017-11-02
Survivors: the Quest®;574;Australien;2017-11-02
Mahjong Journey®;836;Australien;2017-11-02
Twin Moons®;987;Australien;2017-11-02
Hidden City®;214;Italien;2017-11-02
Mahjong Journey®;914;Italien;2017-11-02
The Secret Society®;325;Holland;2017-11-02
Hidden City®;226;Spanien;2017-11-02
Mahjong Journey®;689;Spanien;2017-11-02
The Secret Society®;795;Spanien;2017-11-02
Hidden City®;103;Kina;2017-11-02
Mahjong Journey®;592;Kina;2017-11-02
Inbetween Land (Full);8;Korea;2017-11-02
Hidden City®;57;Korea;2017-11-02
The Secret Society®;410;Korea;2017-11-02
9 Clues 2: The Ward;422;Korea;2017-11-02
Inbetween Land;437;Korea;2017-11-02
Homicide Squad: Hidden Crimes;449;Korea;2017-11-02
Twin Moons®;478;Korea;2017-11-02
Supermarket Mania® Journey;501;Korea;2017-11-02
Mahjong Journey®;548;Korea;2017-11-02
The Paranormal Society™;559;Korea;2017-11-02
Survivors: the Quest®;584;Korea;2017-11-02
Letters From Nowhere®: A Hidden Object Mystery;863;Korea;2017-11-02
The Island Castaway®: Lost World™;996;Korea;2017-11-02
Hidden City®;175;Ryssland;2017-11-02
The Secret Society®;482;Ryssland;2017-11-02
Supermarket Mania® Journey;822;Ryssland;2017-11-02
Inbetween Land (Full);981;Ryssland;2017-11-02
Hidden City®;439;Brasilien;2017-11-02
Mahjong Journey®;595;Brasilien;2017-11-02
Inbetween Land (Full);987;Brasilien;2017-11-02
Hidden City®;83;USA;2017-11-03
Mahjong Journey®;436;USA;2017-11-03
Homicide Squad: Hidden Crimes;517;USA;2017-11-03
Supermarket Mania® Journey;915;USA;2017-11-03
Twin Moons®;444;UK;2017-11-03
Hidden City®;496;UK;2017-11-03
Supermarket Mania® Journey;610;UK;2017-11-03
Hidden City®;185;Tyskland;2017-11-03
The Secret Society®;731;Tyskland;2017-11-03
Supermarket Mania® Journey;773;Tyskland;2017-11-03
Hidden City®;266;Canada;2017-11-03
Mahjong Journey®;447;Canada;2017-11-03
Supermarket Mania® Journey;701;Canada;2017-11-03
Survivors: the Quest®;796;Canada;2017-11-03
Hidden City®;296;Frankrike;2017-11-03
Supermarket Mania® Journey;571;Frankrike;2017-11-03
Hidden City®;30;Japan;2017-11-03
Mahjong Journey®;308;Japan;2017-11-03
The Paranormal Society™;486;Japan;2017-11-03
Homicide Squad: Hidden Crimes;488;Japan;2017-11-03
The Secret Society®;661;Japan;2017-11-03
Twin Moons®;799;Japan;2017-11-03
