Speltitel;Placering;Land;Datum
Hidden City: Mystery of Shadows;50;USA;2017-02-05
The Secret Society™ - Hidden Mystery;62;USA;2017-02-05
Mahjong Journey;89;USA;2017-02-05
Twin Moons Society™: Hidden Mystery;337;USA;2017-02-05
Survivors: The Quest;363;USA;2017-02-05
Supermarket Mania® Journey;405;USA;2017-02-05
The Island Castaway: Lost World®;484;USA;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;870;USA;2017-02-05
The Secret Society™ - Hidden Mystery;42;UK;2017-02-05
Mahjong Journey;65;UK;2017-02-05
Hidden City: Mystery of Shadows;74;UK;2017-02-05
Survivors: The Quest;118;UK;2017-02-05
Twin Moons Society™: Hidden Mystery;225;UK;2017-02-05
Supermarket Mania® Journey;393;UK;2017-02-05
Virtual City Playground HD;482;UK;2017-02-05
The Paranormal Society: Hidden Adventure;647;UK;2017-02-05
Kate Malone: Hidden Object Detective;687;UK;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;702;UK;2017-02-05
Hidden City: Mystery of Shadows;42;Tyskland;2017-02-05
Mahjong Journey;84;Tyskland;2017-02-05
The Secret Society™ - Hidden Mystery;113;Tyskland;2017-02-05
Twin Moons Society™: Hidden Mystery;268;Tyskland;2017-02-05
Survivors: The Quest;319;Tyskland;2017-02-05
Brave Tribe;375;Tyskland;2017-02-05
Supermarket Mania® Journey;720;Tyskland;2017-02-05
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;891;Tyskland;2017-02-05
Twin Moons HD (Full);920;Tyskland;2017-02-05
Deep Town: The Twin Candles HD;922;Tyskland;2017-02-05
Lost Souls: Timeless Fables, Collector&#39s Edition HD (Full);924;Tyskland;2017-02-05
The Secret Society™ - Hidden Mystery;44;Canada;2017-02-05
Hidden City: Mystery of Shadows;57;Canada;2017-02-05
Mahjong Journey;119;Canada;2017-02-05
Survivors: The Quest;312;Canada;2017-02-05
Twin Moons Society™: Hidden Mystery;314;Canada;2017-02-05
Supermarket Mania® Journey;450;Canada;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;525;Canada;2017-02-05
Homicide Squad: Hidden Crimes;540;Canada;2017-02-05
Brave Tribe;963;Canada;2017-02-05
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;964;Canada;2017-02-05
Hidden City: Mystery of Shadows;62;Frankrike;2017-02-05
The Secret Society™ - Hidden Mystery;70;Frankrike;2017-02-05
Mahjong Journey;73;Frankrike;2017-02-05
Survivors: The Quest;224;Frankrike;2017-02-05
Supermarket Mania® Journey;227;Frankrike;2017-02-05
Twin Moons Society™: Hidden Mystery;278;Frankrike;2017-02-05
Stand O’ Food® Empire;498;Frankrike;2017-02-05
The Paranormal Society: Hidden Adventure;615;Frankrike;2017-02-05
Special Enquiry Detail: Engaged to Kill™ HD;737;Frankrike;2017-02-05
Virtual City Playground HD;749;Frankrike;2017-02-05
The Mystery of the Crystal Portal HD (Free);869;Frankrike;2017-02-05
The Magician&#39s Handbook: Cursed Valley HD;893;Frankrike;2017-02-05
The Mystery of the Crystal Portal 2 - Beyond the Horizon HD;920;Frankrike;2017-02-05
The Island Castaway: Lost World®;932;Frankrike;2017-02-05
Hidden City: Mystery of Shadows;131;Japan;2017-02-05
The Secret Society™ - Hidden Mystery;193;Japan;2017-02-05
Survivors: The Quest;282;Japan;2017-02-05
Twin Moons Society™: Hidden Mystery;371;Japan;2017-02-05
Mahjong Journey;379;Japan;2017-02-05
The Paranormal Society: Hidden Adventure;420;Japan;2017-02-05
Supermarket Mania® Journey;660;Japan;2017-02-05
Brave Tribe;932;Japan;2017-02-05
Hidden City: Mystery of Shadows;48;Australien;2017-02-05
Mahjong Journey;69;Australien;2017-02-05
The Secret Society™ - Hidden Mystery;104;Australien;2017-02-05
Survivors: The Quest;221;Australien;2017-02-05
Supermarket Mania® Journey;314;Australien;2017-02-05
Twin Moons Society™: Hidden Mystery;359;Australien;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;434;Australien;2017-02-05
Nightmares from the Deep®: A Hidden Object Adventure;691;Australien;2017-02-05
Letters from Nowhere 2 HD;864;Australien;2017-02-05
Letters from Nowhere 2 HD (Full);874;Australien;2017-02-05
Hidden City: Mystery of Shadows;55;Italien;2017-02-05
Supermarket Mania® Journey;118;Italien;2017-02-05
The Secret Society™ - Hidden Mystery;158;Italien;2017-02-05
Mahjong Journey;170;Italien;2017-02-05
Survivors: The Quest;182;Italien;2017-02-05
Twin Moons Society™: Hidden Mystery;229;Italien;2017-02-05
The Island: Castaway 2™ HD (Full);425;Italien;2017-02-05
Brave Tribe;674;Italien;2017-02-05
Letters from Nowhere 2 HD;694;Italien;2017-02-05
Twin Moons HD;695;Italien;2017-02-05
Lost Souls: Enchanted Paintings HD (Full);705;Italien;2017-02-05
Hidden City: Mystery of Shadows;92;Holland;2017-02-05
The Secret Society™ - Hidden Mystery;207;Holland;2017-02-05
Mahjong Journey;309;Holland;2017-02-05
Tales from the Dragon Mountain: the Lair HD;464;Holland;2017-02-05
Virtual City HD;481;Holland;2017-02-05
Supermarket Mania® 2 HD;571;Holland;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;681;Holland;2017-02-05
Twin Moons Society™: Hidden Mystery;692;Holland;2017-02-05
Supermarket Mania® Journey;756;Holland;2017-02-05
Virtual City Playground HD;758;Holland;2017-02-05
Survivors: The Quest;830;Holland;2017-02-05
Hidden City: Mystery of Shadows;66;Spanien;2017-02-05
The Secret Society™ - Hidden Mystery;67;Spanien;2017-02-05
Twin Moons Society™: Hidden Mystery;122;Spanien;2017-02-05
Survivors: The Quest;151;Spanien;2017-02-05
Mahjong Journey;170;Spanien;2017-02-05
Supermarket Mania® Journey;303;Spanien;2017-02-05
Royal Trouble: Hidden Adventures HD;341;Spanien;2017-02-05
Homicide Squad: Hidden Crimes;353;Spanien;2017-02-05
The Mystery of the Crystal Portal HD (Full);405;Spanien;2017-02-05
Tales from the Dragon Mountain: the Strix HD;572;Spanien;2017-02-05
Mahjong Artifacts: Chapter 2 HD;706;Spanien;2017-02-05
Epic Adventures: Cursed Onboard HD;708;Spanien;2017-02-05
Brave Tribe;750;Spanien;2017-02-05
Tales from the Dragon Mountain: the Lair HD;845;Spanien;2017-02-05
Lost Souls: Timeless Fables Collector&#39s Edition HD;853;Spanien;2017-02-05
Where Angels Cry: Tears of the Fallen HD;854;Spanien;2017-02-05
Kingdom Tales 2 HD;857;Spanien;2017-02-05
Abyss: the Wraiths of Eden HD;861;Spanien;2017-02-05
Hidden City: Mystery of Shadows;120;Kina;2017-02-05
Survivors: The Quest;256;Kina;2017-02-05
Twin Moons Society™: Hidden Mystery;327;Kina;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;372;Kina;2017-02-05
The Secret Society™ - Hidden Mystery;381;Kina;2017-02-05
Mahjong Journey;426;Kina;2017-02-05
Virtual City Playground HD;662;Kina;2017-02-05
The Paranormal Society: Hidden Adventure;822;Kina;2017-02-05
Abyss: the Wraiths of Eden HD;839;Kina;2017-02-05
Youda Survivor 2 HD;880;Kina;2017-02-05
Lost Souls: Enchanted Paintings HD;998;Kina;2017-02-05
Hidden City: Mystery of Shadows;56;Korea;2017-02-05
Survivors: The Quest;148;Korea;2017-02-05
Abyss: the Wraiths of Eden HD;204;Korea;2017-02-05
The Secret Society™ - Hidden Mystery;214;Korea;2017-02-05
Twin Moons Society™: Hidden Mystery;298;Korea;2017-02-05
Graven: The Purple Moon Prophecy HD;311;Korea;2017-02-05
Lost Souls: Enchanted Paintings HD (Full);403;Korea;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;408;Korea;2017-02-05
Virtual City Playground HD;414;Korea;2017-02-05
Supermarket Mania® Journey;459;Korea;2017-02-05
Kate Malone: Hidden Object Detective;480;Korea;2017-02-05
Supermarket Management 2 HD;484;Korea;2017-02-05
Dreamscapes: The Sandman Collector&#39s Edition HD;495;Korea;2017-02-05
Where Angels Cry HD (Full);497;Korea;2017-02-05
The Island Castaway: Lost World®;738;Korea;2017-02-05
Lost Souls: Enchanted Paintings HD;867;Korea;2017-02-05
Brave Tribe;886;Korea;2017-02-05
Stand O’ Food® Empire;916;Korea;2017-02-05
Special Enquiry Detail: Engaged to Kill™ HD;959;Korea;2017-02-05
Royal Trouble: Hidden Adventures HD;960;Korea;2017-02-05
Nightmares from the Deep™: The Siren’s Call HD;969;Korea;2017-02-05
Hidden City: Mystery of Shadows;43;Ryssland;2017-02-05
The Secret Society™ - Hidden Mystery;75;Ryssland;2017-02-05
Twin Moons Society™: Hidden Mystery;114;Ryssland;2017-02-05
Survivors: The Quest;147;Ryssland;2017-02-05
Mahjong Journey;192;Ryssland;2017-02-05
The Paranormal Society: Hidden Adventure;307;Ryssland;2017-02-05
Pilot Brothers 2 for iPad (Full);375;Ryssland;2017-02-05
Brave Tribe;470;Ryssland;2017-02-05
The Island - Castaway™ HD;548;Ryssland;2017-02-05
Virtual City 2: Paradise Resort HD;550;Ryssland;2017-02-05
Treasure Seekers 3: Follow the Ghosts, Collector&#39s Edition HD;554;Ryssland;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;624;Ryssland;2017-02-05
Stand O’ Food® Empire;639;Ryssland;2017-02-05
The Mystery of the Crystal Portal HD (Free);684;Ryssland;2017-02-05
Homicide Squad: Hidden Crimes;797;Ryssland;2017-02-05
Virtual City Playground HD;894;Ryssland;2017-02-05
Dark Arcana: The Carnival HD;916;Ryssland;2017-02-05
Nightmares from the Deep™: The Siren’s Call HD;918;Ryssland;2017-02-05
Supermarket Mania® Journey;922;Ryssland;2017-02-05
Lost Souls: Enchanted Paintings HD (Full);967;Ryssland;2017-02-05
Hidden City: Mystery of Shadows;51;Brasilien;2017-02-05
The Secret Society™ - Hidden Mystery;74;Brasilien;2017-02-05
Survivors: The Quest;139;Brasilien;2017-02-05
Mahjong Journey;420;Brasilien;2017-02-05
The Island: Castaway 2™ HD;425;Brasilien;2017-02-05
Homicide Squad: Hidden Crimes;538;Brasilien;2017-02-05
Virtual City Playground HD;573;Brasilien;2017-02-05
Jane&#39s Hotel 2: Family Hero HD;633;Brasilien;2017-02-05
Supermarket Mania® Journey;647;Brasilien;2017-02-05
Hidden City: Mystery of Shadows;56;USA;2017-02-06
The Secret Society™ - Hidden Mystery;58;USA;2017-02-06
Mahjong Journey;92;USA;2017-02-06
Twin Moons Society™: Hidden Mystery;363;USA;2017-02-06
Supermarket Mania® Journey;371;USA;2017-02-06
Survivors: The Quest;411;USA;2017-02-06
The Island Castaway: Lost World®;612;USA;2017-02-06
The Secret Society™ - Hidden Mystery;58;UK;2017-02-06
Mahjong Journey;75;UK;2017-02-06
Hidden City: Mystery of Shadows;87;UK;2017-02-06
Survivors: The Quest;109;UK;2017-02-06
Twin Moons Society™: Hidden Mystery;274;UK;2017-02-06
Supermarket Mania® Journey;515;UK;2017-02-06
Virtual City Playground HD;703;UK;2017-02-06
The Paranormal Society: Hidden Adventure;812;UK;2017-02-06
Abyss: the Wraiths of Eden HD;944;UK;2017-02-06
Lost Souls: Timeless Fables Collector&#39s Edition HD;951;UK;2017-02-06
Dark Arcana: The Carnival HD (Full);952;UK;2017-02-06
Abyss: the Wraiths of Eden HD (Full);953;UK;2017-02-06
Letters From Nowhere: A Hidden Object Mystery;959;UK;2017-02-06
Hidden City: Mystery of Shadows;35;Tyskland;2017-02-06
Mahjong Journey;116;Tyskland;2017-02-06
Twin Moons Society™: Hidden Mystery;125;Tyskland;2017-02-06
The Secret Society™ - Hidden Mystery;137;Tyskland;2017-02-06
Survivors: The Quest;283;Tyskland;2017-02-06
Brave Tribe;514;Tyskland;2017-02-06
Nightmares from the Deep®: A Hidden Object Adventure;565;Tyskland;2017-02-06
The Island Castaway: Lost World®;598;Tyskland;2017-02-06
Supermarket Mania® Journey;671;Tyskland;2017-02-06
Lost Souls: Enchanted Paintings HD;742;Tyskland;2017-02-06
Homicide Squad: Hidden Crimes;824;Tyskland;2017-02-06
Mahjong Artifacts HD;855;Tyskland;2017-02-06
Jane&#39s Hotel 2: Family Hero HD;866;Tyskland;2017-02-06
The Paranormal Society: Hidden Adventure;928;Tyskland;2017-02-06
The Secret Society™ - Hidden Mystery;40;Canada;2017-02-06
Hidden City: Mystery of Shadows;63;Canada;2017-02-06
Mahjong Journey;93;Canada;2017-02-06
Twin Moons Society™: Hidden Mystery;343;Canada;2017-02-06
Survivors: The Quest;392;Canada;2017-02-06
Supermarket Mania® Journey;536;Canada;2017-02-06
Letters From Nowhere: A Hidden Object Mystery;654;Canada;2017-02-06
Homicide Squad: Hidden Crimes;668;Canada;2017-02-06
Hidden City: Mystery of Shadows;51;Frankrike;2017-02-06
The Secret Society™ - Hidden Mystery;57;Frankrike;2017-02-06
Mahjong Journey;77;Frankrike;2017-02-06
Survivors: The Quest;175;Frankrike;2017-02-06
Supermarket Mania® Journey;228;Frankrike;2017-02-06
Twin Moons Society™: Hidden Mystery;376;Frankrike;2017-02-06
Kate Malone: Hidden Object Detective;511;Frankrike;2017-02-06
Mind Snares: Alice&#39s Journey HD;632;Frankrike;2017-02-06
Stand O’ Food® Empire;642;Frankrike;2017-02-06
Special Enquiry Detail: The Hand that Feeds HD;745;Frankrike;2017-02-06
Jane&#39s Hotel 2: Family Hero HD;750;Frankrike;2017-02-06
The Paranormal Society: Hidden Adventure;910;Frankrike;2017-02-06
Hidden City: Mystery of Shadows;107;Japan;2017-02-06
The Secret Society™ - Hidden Mystery;212;Japan;2017-02-06
Twin Moons Society™: Hidden Mystery;250;Japan;2017-02-06
Survivors: The Quest;268;Japan;2017-02-06
Mahjong Journey;351;Japan;2017-02-06
The Paranormal Society: Hidden Adventure;576;Japan;2017-02-06
Supermarket Mania® Journey;749;Japan;2017-02-06
Homicide Squad: Hidden Crimes;805;Japan;2017-02-06
Lost Souls: Timeless Fables Collector&#39s Edition HD;901;Japan;2017-02-06
Stand O’ Food® Empire;907;Japan;2017-02-06
Hidden City: Mystery of Shadows;58;Australien;2017-02-06
Mahjong Journey;63;Australien;2017-02-06
The Secret Society™ - Hidden Mystery;127;Australien;2017-02-06
Supermarket Mania® Journey;180;Australien;2017-02-06
Survivors: The Quest;183;Australien;2017-02-06
Twin Moons Society™: Hidden Mystery;380;Australien;2017-02-06
Letters From Nowhere: A Hidden Object Mystery;576;Australien;2017-02-06
Nightmares from the Deep®: A Hidden Object Adventure;945;Australien;2017-02-06
Hidden City: Mystery of Shadows;55;Italien;2017-02-06
Survivors: The Quest;106;Italien;2017-02-06
Mahjong Journey;134;Italien;2017-02-06
The Secret Society™ - Hidden Mystery;140;Italien;2017-02-06
Supermarket Mania® Journey;194;Italien;2017-02-06
Twin Moons Society™: Hidden Mystery;282;Italien;2017-02-06
Supermarket Mania HD;419;Italien;2017-02-06
Hidden Wonders of the Depths HD;523;Italien;2017-02-06
The Island: Castaway 2™ HD (Full);603;Italien;2017-02-06
Homicide Squad: Hidden Crimes;683;Italien;2017-02-06
Brave Tribe;873;Italien;2017-02-06
Letters from Nowhere 2 HD;889;Italien;2017-02-06
Twin Moons HD;890;Italien;2017-02-06
Lost Souls: Enchanted Paintings HD (Full);900;Italien;2017-02-06
Hidden City: Mystery of Shadows;141;Holland;2017-02-06
Mahjong Journey;284;Holland;2017-02-06
The Secret Society™ - Hidden Mystery;326;Holland;2017-02-06
Spirit Walkers: Curse of the Cypress Witch HD;475;Holland;2017-02-06
Build It! Miami Beach Resort HD;478;Holland;2017-02-06
Supermarket Management 2 HD (Full);483;Holland;2017-02-06
Survivors: The Quest;674;Holland;2017-02-06
Tales from the Dragon Mountain: the Lair HD;720;Holland;2017-02-06
Virtual City HD;773;Holland;2017-02-06
Supermarket Mania® 2 HD;846;Holland;2017-02-06
Letters From Nowhere: A Hidden Object Mystery;937;Holland;2017-02-06
Twin Moons Society™: Hidden Mystery;951;Holland;2017-02-06
Hidden City: Mystery of Shadows;65;Spanien;2017-02-06
Survivors: The Quest;92;Spanien;2017-02-06
The Secret Society™ - Hidden Mystery;106;Spanien;2017-02-06
Twin Moons Society™: Hidden Mystery;171;Spanien;2017-02-06
Mahjong Journey;258;Spanien;2017-02-06
Homicide Squad: Hidden Crimes;424;Spanien;2017-02-06
Supermarket Mania® Journey;442;Spanien;2017-02-06
Royal Trouble: Hidden Adventures HD;483;Spanien;2017-02-06
The Mystery of the Crystal Portal HD (Full);569;Spanien;2017-02-06
The Paranormal Society: Hidden Adventure;640;Spanien;2017-02-06
Virtual City Playground HD;657;Spanien;2017-02-06
Tales from the Dragon Mountain: the Strix HD;727;Spanien;2017-02-06
Mahjong Artifacts: Chapter 2 HD;840;Spanien;2017-02-06
Epic Adventures: Cursed Onboard HD;842;Spanien;2017-02-06
Brave Tribe;881;Spanien;2017-02-06
Tales from the Dragon Mountain: the Lair HD;967;Spanien;2017-02-06
Lost Souls: Timeless Fables Collector&#39s Edition HD;974;Spanien;2017-02-06
Where Angels Cry: Tears of the Fallen HD;975;Spanien;2017-02-06
Kingdom Tales 2 HD;977;Spanien;2017-02-06
Abyss: the Wraiths of Eden HD;981;Spanien;2017-02-06
Hidden City: Mystery of Shadows;103;Kina;2017-02-06
Survivors: The Quest;193;Kina;2017-02-06
The Secret Society™ - Hidden Mystery;276;Kina;2017-02-06
Mahjong Journey;299;Kina;2017-02-06
Twin Moons Society™: Hidden Mystery;322;Kina;2017-02-06
The Paranormal Society: Hidden Adventure;436;Kina;2017-02-06
Letters From Nowhere: A Hidden Object Mystery;542;Kina;2017-02-06
Virtual City Playground HD;670;Kina;2017-02-06
Brightstone Mysteries: Paranormal Hotel HD;732;Kina;2017-02-06
Twin Moons HD;736;Kina;2017-02-06
The Island Castaway: Lost World®;772;Kina;2017-02-06
Nightmares from the Deep®: A Hidden Object Adventure;784;Kina;2017-02-06
Brave Tribe;929;Kina;2017-02-06
Survivors: The Quest;29;Korea;2017-02-06
Hidden City: Mystery of Shadows;71;Korea;2017-02-06
The Island Castaway: Lost World®;107;Korea;2017-02-06
Royal Trouble: Hidden Honeymoon Havoc HD;154;Korea;2017-02-06
Abyss: the Wraiths of Eden;189;Korea;2017-02-06
The Secret Society™ - Hidden Mystery;233;Korea;2017-02-06
Abyss: the Wraiths of Eden HD;255;Korea;2017-02-06
Twin Moons Society™: Hidden Mystery;266;Korea;2017-02-06
Graven: The Purple Moon Prophecy HD;360;Korea;2017-02-06
Lost Souls: Enchanted Paintings HD (Full);447;Korea;2017-02-06
Letters From Nowhere: A Hidden Object Mystery;450;Korea;2017-02-06
Virtual City Playground HD;457;Korea;2017-02-06
Supermarket Mania® Journey;500;Korea;2017-02-06
Kate Malone: Hidden Object Detective;519;Korea;2017-02-06
Supermarket Management 2 HD;523;Korea;2017-02-06
Dreamscapes: The Sandman Collector&#39s Edition HD;534;Korea;2017-02-06
Where Angels Cry HD (Full);536;Korea;2017-02-06
Lost Souls: Enchanted Paintings HD;897;Korea;2017-02-06
Brave Tribe;914;Korea;2017-02-06
Stand O’ Food® Empire;942;Korea;2017-02-06
Special Enquiry Detail: Engaged to Kill™ HD;984;Korea;2017-02-06
Royal Trouble: Hidden Adventures HD;985;Korea;2017-02-06
Nightmares from the Deep™: The Siren’s Call HD;994;Korea;2017-02-06
Hidden City: Mystery of Shadows;44;Ryssland;2017-02-06
The Secret Society™ - Hidden Mystery;100;Ryssland;2017-02-06
Survivors: The Quest;131;Ryssland;2017-02-06
Mahjong Journey;134;Ryssland;2017-02-06
Brave Tribe;194;Ryssland;2017-02-06
Twin Moons Society™: Hidden Mystery;209;Ryssland;2017-02-06
Stand O’ Food® Empire;316;Ryssland;2017-02-06
Pilot Brothers 2 for iPad (Full);375;Ryssland;2017-02-06
The Paranormal Society: Hidden Adventure;413;Ryssland;2017-02-06
Youda Survivor 2 HD;416;Ryssland;2017-02-06
The Island: Castaway 2™ HD;426;Ryssland;2017-02-06
Letters From Nowhere: A Hidden Object Mystery;440;Ryssland;2017-02-06
The Island Castaway: Lost World®;544;Ryssland;2017-02-06
The Island - Castaway™ HD;789;Ryssland;2017-02-06
Virtual City 2: Paradise Resort HD;791;Ryssland;2017-02-06
Treasure Seekers 3: Follow the Ghosts, Collector&#39s Edition HD;796;Ryssland;2017-02-06
The Mystery of the Crystal Portal HD (Free);943;Ryssland;2017-02-06
Twin Moons;951;Ryssland;2017-02-06
Hidden City: Mystery of Shadows;49;Brasilien;2017-02-06
Survivors: The Quest;60;Brasilien;2017-02-06
The Secret Society™ - Hidden Mystery;116;Brasilien;2017-02-06
Mahjong Journey;504;Brasilien;2017-02-06
The Island: Castaway 2™ HD;509;Brasilien;2017-02-06
Homicide Squad: Hidden Crimes;608;Brasilien;2017-02-06
Virtual City Playground HD;639;Brasilien;2017-02-06
Jane&#39s Hotel 2: Family Hero HD;693;Brasilien;2017-02-06
Supermarket Mania® Journey;706;Brasilien;2017-02-06
Hidden City: Mystery of Shadows;47;USA;2017-02-07
The Secret Society™ - Hidden Mystery;59;USA;2017-02-07
Mahjong Journey;106;USA;2017-02-07
Survivors: The Quest;291;USA;2017-02-07
Twin Moons Society™: Hidden Mystery;297;USA;2017-02-07
Supermarket Mania® Journey;428;USA;2017-02-07
Letters From Nowhere: A Hidden Object Mystery;615;USA;2017-02-07
The Island Castaway: Lost World®;815;USA;2017-02-07
Hidden City: Mystery of Shadows;59;UK;2017-02-07
The Secret Society™ - Hidden Mystery;65;UK;2017-02-07
Mahjong Journey;66;UK;2017-02-07
Survivors: The Quest;109;UK;2017-02-07
Twin Moons Society™: Hidden Mystery;170;UK;2017-02-07
Brave Tribe;283;UK;2017-02-07
Supermarket Mania® Journey;308;UK;2017-02-07
Letters From Nowhere: A Hidden Object Mystery;567;UK;2017-02-07
The Cursed Ship, Collector’s Edition HD;794;UK;2017-02-07
Jane&#39s Hotel 2: Family Hero HD;956;UK;2017-02-07
Hidden City: Mystery of Shadows;28;Tyskland;2017-02-07
The Secret Society™ - Hidden Mystery;73;Tyskland;2017-02-07
Mahjong Journey;105;Tyskland;2017-02-07
Twin Moons Society™: Hidden Mystery;158;Tyskland;2017-02-07
Survivors: The Quest;224;Tyskland;2017-02-07
Supermarket Mania® Journey;609;Tyskland;2017-02-07
The Island Castaway: Lost World®;750;Tyskland;2017-02-07
Stand O&#39Food® 3 HD;757;Tyskland;2017-02-07
Brave Tribe;819;Tyskland;2017-02-07
Lost Souls: Enchanted Paintings HD;824;Tyskland;2017-02-07
Nightmares from the Deep®: A Hidden Object Adventure;901;Tyskland;2017-02-07
Hidden City: Mystery of Shadows;46;Canada;2017-02-07
The Secret Society™ - Hidden Mystery;50;Canada;2017-02-07
Mahjong Journey;106;Canada;2017-02-07
Twin Moons Society™: Hidden Mystery;200;Canada;2017-02-07
Brave Tribe;318;Canada;2017-02-07
Supermarket Mania® Journey;328;Canada;2017-02-07
Survivors: The Quest;371;Canada;2017-02-07
Homicide Squad: Hidden Crimes;386;Canada;2017-02-07
Letters From Nowhere: A Hidden Object Mystery;542;Canada;2017-02-07
Kate Malone: Hidden Object Detective;900;Canada;2017-02-07
Virtual City Playground HD;919;Canada;2017-02-07
Hidden City: Mystery of Shadows;54;Frankrike;2017-02-07
The Secret Society™ - Hidden Mystery;74;Frankrike;2017-02-07
Mahjong Journey;96;Frankrike;2017-02-07
Survivors: The Quest;136;Frankrike;2017-02-07
Twin Moons Society™: Hidden Mystery;301;Frankrike;2017-02-07
Supermarket Mania® Journey;358;Frankrike;2017-02-07
Brave Tribe;390;Frankrike;2017-02-07
Stand O’ Food® Empire;649;Frankrike;2017-02-07
Stand O&#39Food® 3 HD;656;Frankrike;2017-02-07
Kate Malone: Hidden Object Detective;823;Frankrike;2017-02-07
Mind Snares: Alice&#39s Journey HD;958;Frankrike;2017-02-07
Hidden City: Mystery of Shadows;105;Japan;2017-02-07
The Secret Society™ - Hidden Mystery;240;Japan;2017-02-07
Survivors: The Quest;315;Japan;2017-02-07
Twin Moons Society™: Hidden Mystery;326;Japan;2017-02-07
Supermarket Mania® Journey;357;Japan;2017-02-07
Mahjong Journey;388;Japan;2017-02-07
Homicide Squad: Hidden Crimes;715;Japan;2017-02-07
The Paranormal Society: Hidden Adventure;811;Japan;2017-02-07
Stand O’ Food® Empire;846;Japan;2017-02-07
Nightmares from the Deep™: The Siren’s Call HD;889;Japan;2017-02-07
Jane&#39s Hotel 2: Family Hero HD;969;Japan;2017-02-07
Hidden City: Mystery of Shadows;54;Australien;2017-02-07
Mahjong Journey;58;Australien;2017-02-07
The Secret Society™ - Hidden Mystery;81;Australien;2017-02-07
Survivors: The Quest;140;Australien;2017-02-07
Twin Moons Society™: Hidden Mystery;294;Australien;2017-02-07
Supermarket Mania® Journey;354;Australien;2017-02-07
Letters From Nowhere: A Hidden Object Mystery;473;Australien;2017-02-07
Hidden City: Mystery of Shadows;35;Italien;2017-02-07
Mahjong Journey;121;Italien;2017-02-07
Survivors: The Quest;132;Italien;2017-02-07
The Secret Society™ - Hidden Mystery;162;Italien;2017-02-07
Twin Moons Society™: Hidden Mystery;238;Italien;2017-02-07
Supermarket Mania® Journey;272;Italien;2017-02-07
Lost Souls: Timeless Fables Collector&#39s Edition HD;538;Italien;2017-02-07
The Island - Castaway™ HD;544;Italien;2017-02-07
Nightmares from the Deep™: The Siren’s Call HD;546;Italien;2017-02-07
Myths of Orion: Light from the North HD;549;Italien;2017-02-07
Supermarket Mania HD;636;Italien;2017-02-07
Letters From Nowhere: A Hidden Object Mystery;724;Italien;2017-02-07
Hidden Wonders of the Depths HD;774;Italien;2017-02-07
The Island: Castaway 2™ HD (Full);854;Italien;2017-02-07
Homicide Squad: Hidden Crimes;948;Italien;2017-02-07
Hidden City: Mystery of Shadows;70;Holland;2017-02-07
Mystery of the Opera  HD;348;Holland;2017-02-07
The Secret Society™ - Hidden Mystery;372;Holland;2017-02-07
Mahjong Journey;384;Holland;2017-02-07
Twin Moons Society™: Hidden Mystery;408;Holland;2017-02-07
Survivors: The Quest;595;Holland;2017-02-07
Lost Souls: Enchanted Paintings HD;631;Holland;2017-02-07
Nightmares from the Deep®: A Hidden Object Adventure;657;Holland;2017-02-07
Letters from Nowhere HD;726;Holland;2017-02-07
Spirit Walkers: Curse of the Cypress Witch HD;731;Holland;2017-02-07
Build It! Miami Beach Resort HD;734;Holland;2017-02-07
Supermarket Management 2 HD (Full);740;Holland;2017-02-07
Homicide Squad: Hidden Crimes;830;Holland;2017-02-07
The Secret Society™ - Hidden Mystery;23;Spanien;2017-02-07
Twin Moons Society™: Hidden Mystery;28;Spanien;2017-02-07
Hidden City: Mystery of Shadows;57;Spanien;2017-02-07
Mahjong Journey;149;Spanien;2017-02-07
Survivors: The Quest;158;Spanien;2017-02-07
Left in the Dark: No One on Board HD;222;Spanien;2017-02-07
Homicide Squad: Hidden Crimes;383;Spanien;2017-02-07
The Paranormal Society: Hidden Adventure;388;Spanien;2017-02-07
Royal Trouble: Hidden Honeymoon Havoc HD;405;Spanien;2017-02-07
Mahjong Artifacts: Chapter 2 HD;467;Spanien;2017-02-07
Jane&#39s Hotel 2: Family Hero HD;488;Spanien;2017-02-07
Supermarket Mania® Journey;635;Spanien;2017-02-07
Royal Trouble: Hidden Adventures HD;671;Spanien;2017-02-07
The Mystery of the Crystal Portal HD (Full);761;Spanien;2017-02-07
Virtual City Playground HD;858;Spanien;2017-02-07
Kate Malone: Hidden Object Detective;870;Spanien;2017-02-07
Tales from the Dragon Mountain: the Strix HD;927;Spanien;2017-02-07
Hidden City: Mystery of Shadows;95;Kina;2017-02-07
Mahjong Journey;204;Kina;2017-02-07
The Secret Society™ - Hidden Mystery;217;Kina;2017-02-07
Survivors: The Quest;229;Kina;2017-02-07
Twin Moons Society™: Hidden Mystery;239;Kina;2017-02-07
Letters From Nowhere: A Hidden Object Mystery;623;Kina;2017-02-07
